epoch,beta,recon_loss,kld
1,0.05,236.021876,44.468904
2,0.1,216.400999,40.98571
3,0.15,213.91737,37.675387
4,0.2,213.173291,34.823072
5,0.25,212.863418,32.424404
6,0.3,212.876076,30.372524
7,0.35,212.998894,28.587359
8,0.4,213.171374,27.025644
9,0.45,213.350094,25.696696
10,0.5,213.596859,24.49818
11,0.55,213.920366,23.407217
12,0.6,214.3015,22.423257
13,0.65,214.604266,21.572992
14,0.7,214.868106,20.773777
15,0.75,215.237788,20.015682
16,0.8,215.555453,19.343337
17,0.85,215.93375,18.770808
18,0.9,216.284953,18.208174
19,0.95,216.637734,17.698475
20,1.0,217.023923,17.204884
21,1.0,216.888259,17.120329
22,1.0,216.801837,17.055262
23,1.0,216.764447,16.971781
24,1.0,216.669609,16.906027
25,1.0,216.633812,16.923172
26,1.0,216.546005,16.843928
27,1.0,216.473121,16.861507
28,1.0,216.402162,16.799503
29,1.0,216.316648,16.778952
30,1.0,216.232661,16.760717
